date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-07-09,BA,Novo Triunfo,city,31,0,True,15440,2923050,200.7772,0.0
2020-07-09,BA,Olindina,city,30,0,True,28229,2923100,106.27369,0.0
2020-07-09,BA,Oliveira dos Brejinhos,city,42,0,True,21825,2923209,192.43986,0.0
2020-07-09,BA,Ouriçangas,city,12,0,True,8564,2923308,140.12144,0.0
2020-07-09,BA,Ourolândia,city,25,0,True,17451,2923357,143.25827,0.0
2020-07-09,BA,Palmas de Monte Alto,city,19,0,True,21750,2923407,87.35632,0.0
2020-07-09,BA,Palmeiras,city,7,0,True,9019,2923506,77.61393,0.0
2020-07-09,BA,Paramirim,city,8,1,True,21607,2923605,37.02504,0.125
2020-07-09,BA,Paratinga,city,12,0,True,32000,2923704,37.5,0.0
2020-07-09,BA,Paripiranga,city,39,1,True,28989,2923803,134.53379,0.0256
2020-07-09,BA,Pau Brasil,city,35,4,True,9831,2923902,356.01668,0.1143
2020-07-09,BA,Paulo Afonso,city,241,7,True,117782,2924009,204.61531,0.029
2020-07-09,BA,Pé de Serra,city,31,0,True,13578,2924058,228.3105,0.0
2020-07-09,BA,Pedrão,city,2,0,True,7347,2924108,27.222,0.0
2020-07-09,BA,Pedro Alexandre,city,8,0,True,16667,2924207,47.99904,0.0
2020-07-09,BA,Piatã,city,10,0,True,17123,2924306,58.40098,0.0
2020-07-09,BA,Pilão Arcado,city,52,0,True,35048,2924405,148.36795,0.0
2020-07-09,BA,Pindaí,city,17,0,True,16260,2924504,104.55105,0.0
2020-07-09,BA,Pindobaçu,city,31,0,True,20150,2924603,153.84615,0.0
2020-07-09,BA,Pintadas,city,86,0,True,10437,2924652,823.99157,0.0
2020-07-09,BA,Piraí do Norte,city,81,0,True,10023,2924678,808.14128,0.0
2020-07-09,BA,Piripá,city,44,0,True,10707,2924702,410.94611,0.0
2020-07-09,BA,Piritiba,city,7,0,True,24755,2924801,28.27712,0.0
2020-07-09,BA,Planalto,city,57,0,True,26265,2925006,217.01885,0.0
2020-07-09,BA,Poções,city,228,2,True,46871,2925105,486.44151,0.0088
2020-07-09,BA,Pojuca,city,292,2,True,39519,2925204,738.88509,0.0068
2020-07-09,BA,Ponto Novo,city,29,1,True,14914,2925253,194.44817,0.0345
2020-07-09,BA,Porto Seguro,city,781,4,True,148686,2925303,525.26801,0.0051
2020-07-09,BA,Potiraguá,city,42,0,True,7224,2925402,581.39535,0.0
2020-07-09,BA,Prado,city,151,3,True,28174,2925501,535.95514,0.0199
2020-07-09,BA,Presidente Dutra,city,59,0,True,15142,2925600,389.6447,0.0
2020-07-09,BA,Presidente Jânio Quadros,city,14,1,True,12338,2925709,113.47058,0.0714
2020-07-09,BA,Presidente Tancredo Neves,city,209,2,True,27719,2925758,753.99545,0.0096
2020-07-09,BA,Queimadas,city,114,1,True,25439,2925808,448.13082,0.0088
2020-07-09,BA,Quijingue,city,18,1,True,27580,2925907,65.26468,0.0556
2020-07-09,BA,Quixabeira,city,13,0,True,8972,2925931,144.89523,0.0
2020-07-09,BA,Rafael Jambeiro,city,79,0,True,22621,2925956,349.23301,0.0
2020-07-09,BA,Remanso,city,37,1,True,41008,2926004,90.2263,0.027
2020-07-09,BA,Retirolândia,city,74,0,True,14396,2926103,514.03168,0.0
2020-07-09,BA,Riachão das Neves,city,56,0,True,22339,2926202,250.68266,0.0
2020-07-09,BA,Riachão do Jacuípe,city,126,2,True,33436,2926301,376.83933,0.0159
2020-07-09,BA,Riacho de Santana,city,34,0,True,35421,2926400,95.98826,0.0
2020-07-09,BA,Ribeira do Amparo,city,21,0,True,14592,2926509,143.91447,0.0
2020-07-09,BA,Ribeira do Pombal,city,210,1,True,53807,2926608,390.28379,0.0048
2020-07-09,BA,Ribeirão do Largo,city,7,0,True,5812,2926657,120.44047,0.0
2020-07-09,BA,Rio de Contas,city,3,0,True,12989,2926707,23.09647,0.0
2020-07-09,BA,Rio do Antônio,city,4,0,True,15371,2926806,26.02303,0.0
2020-07-09,BA,Rio do Pires,city,14,1,True,11655,2926905,120.12012,0.0714
2020-07-09,BA,Rio Real,city,82,0,True,40732,2927002,201.31592,0.0
2020-07-09,BA,Rodelas,city,8,0,True,9331,2927101,85.73572,0.0
2020-07-09,BA,Ruy Barbosa,city,114,1,True,30814,2927200,369.96171,0.0088
2020-07-09,BA,Salinas da Margarida,city,19,1,True,15667,2927309,121.27402,0.0526
2020-07-09,BA,Salvador,city,41471,1378,True,2872347,2927408,1443.80188,0.0332
2020-07-09,BA,Santa Bárbara,city,185,0,True,20791,2927507,889.80809,0.0
2020-07-09,BA,Santa Brígida,city,19,0,True,14213,2927606,133.68043,0.0
2020-07-09,BA,Santa Cruz Cabrália,city,149,2,True,27778,2927705,536.39571,0.0134
2020-07-09,BA,Santa Cruz da Vitória,city,13,1,True,6315,2927804,205.85907,0.0769
2020-07-09,BA,Santa Inês,city,11,1,True,10631,2927903,103.47098,0.0909
2020-07-09,BA,Santaluz,city,99,2,True,37348,2928000,265.07444,0.0202
2020-07-09,BA,Santa Luzia,city,53,0,True,12597,2928059,420.7351,0.0
2020-07-09,BA,Santa Maria da Vitória,city,5,0,True,39845,2928109,12.54863,0.0
2020-07-09,BA,Santana,city,0,0,True,26614,2928208,,0.0
2020-07-09,BA,Santanópolis,city,38,0,True,8943,2928307,424.91334,0.0
2020-07-09,BA,Santa Rita de Cássia,city,14,1,True,28338,2928406,49.40363,0.0714
2020-07-09,BA,Santa Teresinha,city,23,1,True,10405,2928505,221.04757,0.0435
2020-07-09,BA,Santo Amaro,city,304,4,True,60069,2928604,506.08467,0.0132
2020-07-09,BA,Santo Antônio de Jesus,city,661,10,True,101512,2928703,651.15454,0.0151
2020-07-09,BA,Santo Estêvão,city,73,1,True,52850,2928802,138.12677,0.0137
2020-07-09,BA,São Desidério,city,74,0,True,33742,2928901,219.31124,0.0
2020-07-09,BA,São Domingos,city,7,0,True,9058,2928950,77.27975,0.0
2020-07-09,BA,São Felipe,city,39,0,True,21074,2929107,185.06216,0.0
2020-07-09,BA,São Félix,city,35,1,True,14740,2929008,237.44912,0.0286
2020-07-09,BA,São Félix do Coribe,city,7,0,True,15391,2929057,45.48113,0.0
2020-07-09,BA,São Francisco do Conde,city,339,4,True,39802,2929206,851.71599,0.0118
2020-07-09,BA,São Gabriel,city,6,0,True,18793,2929255,31.92678,0.0
2020-07-09,BA,São Gonçalo dos Campos,city,208,3,True,37550,2929305,553.9281,0.0144
2020-07-09,BA,São José da Vitória,city,68,1,True,5657,2929354,1202.05056,0.0147
2020-07-09,BA,São José do Jacuípe,city,6,1,True,10462,2929370,57.35041,0.1667
2020-07-09,BA,São Miguel das Matas,city,5,0,True,11675,2929404,42.82655,0.0
2020-07-09,BA,São Sebastião do Passé,city,304,5,True,44300,2929503,686.23025,0.0164
2020-07-09,BA,Sapeaçu,city,54,0,True,17398,2929602,310.3805,0.0
2020-07-09,BA,Sátiro Dias,city,25,0,True,17273,2929701,144.73456,0.0
2020-07-09,BA,Saubara,city,38,3,True,12043,2929750,315.536,0.0789
2020-07-09,BA,Saúde,city,0,0,True,12913,2929800,,0.0
2020-07-09,BA,Seabra,city,30,2,True,44091,2929909,68.0411,0.0667
2020-07-09,BA,Sebastião Laranjeiras,city,2,0,True,11434,2930006,17.49169,0.0
2020-07-09,BA,Senhor do Bonfim,city,175,1,True,79015,2930105,221.47693,0.0057
2020-07-09,BA,Sento Sé,city,28,2,True,40684,2930204,68.82312,0.0714
2020-07-09,BA,Serra do Ramalho,city,9,0,True,31472,2930154,28.59685,0.0
